run_id,enzyme
FAP57752,MboI
FAQ06292,EcoRV
FAQ44376,None
FAS76557,EcoRI
FAS52510,None
FAS07117,EcoRI
FAS78281,None
FAS61974,EcoRV
FAS62032,EcoRV
FAS61714,EcoRV
FAS48392,None
FAS61723,EcoRV
FAS14959,EcoRV
FAS61749,EcoRV
FAS38255,EcoRV
FAS12845,EcoRV
FAS11944,EcoRV
FAQ39601,None
PAG49619,None
PAH24084,None
PAH40329,None
FAS77997,EcoRV
FAS61732,EcoRV
FAS38126,EcoRV
COLO829,None
COLOBL,None
FAT10767,None
FAT11814,None
FAT10767,EcoRV
FAT11814,EcoRV
FAT13052,EcoRV
FAT11440,EcoRV
FAT13302,EcoRV
FAT13111,None
FAT13859,EcoRV
FAT13040,EcoRV
FAT13074,EcoRV
FAT10749,EcoRV
FAR93960,EcoRV
FAT11407,EcoRV
FAR93993,EcoRV
FAR94454,EcoRV
FAT58245,EcoRV
FAT59369,EcoRV
FAT59327,EcoRV
FAT58147,EcoRI
FAT60849,EcoRI
FAT58119,EcoRV
FAT58096,EcoRI
FAT60602,EcoRV
FAT59579,EcoRV
FAT59352,EcoRV
FAT58205,EcoRV
FAV35454,EcoRV
FAR62417,EcoRV
FAU74032,EcoRV
FAV31378,EcoRV
FAU64354,EcoRV
FAV35357,EcoRV
FAV29018,EcoRV
FAU08778,EcoRV
FAU08603,EcoRV
FAV28320,EcoRV
FAV35348,EcoRV
FAV28723,EcoRV
FAV34018,EcoRV
FAV35483,EcoRV
FAU93947,EcoRV
FAV35378,EcoRV
FAV27627,EcoRV
FAU93874,EcoRV
FAV21836,EcoRV
FAU08605,EcoRV
FAV35451,EcoRV
FAV27042,EcoRV
FAT60863,EcoRV
FAT60593,EcoRV
FAT57861,EcoRV
FAT61985,EcoRV
FAV26547,EcoRV
FAV89407,EcoRV
FAV89509,EcoRV
FAV92737,EcoRV
FAW19571,EcoRV
FAS87156,EcoRV
FAS87362,EcoRV
FAW30048,EcoRV
FAW29918,EcoRV
FAW29984,EcoRV
FAW30039,EcoRV
FAW31323,EcoRV
FAW30047,EcoRV
FAW19540,EcoRV
FAW30055,EcoRV
FAW29975,EcoRV
FAW54670,EcoRV
FAW52127,EcoRV
FAW51781,EcoRV
FAW54063,EcoRV
FAW54411,EcoRV
FAW51887,EcoRV
FAW52408,EcoRV
FAW91944,EcoRV
FAW90895,EcoRV
FAW81279,EcoRV
FAW81346,EcoRV
FAW81431,EcoRV
FAW69361,EcoRV
FAW67567,EcoRV
FAW77335,EcoRV
FAW65076,EcoRV
FAW30076,EcoRV
FAW81293,EcoRV
FAW81430,EcoRV
FAW81441,EcoRV
FAW62301,EcoRV
REF1234,EcoRV
FAX4704,EcoRV
FAX41195,EcoRV
FAX47504_rk,EcoRV
FAX41195_rk,EcoRV
FAT84933,EcoRV
FAU02748,EcoRV
FAV03051,EcoRV
FAT82595,EcoRV
FAT99590,EcoRV
FAT84933,EcoRV
FAU02748,EcoRV
FAV03051,EcoRV
FAT82595,EcoRV
FAT99590,EcoRV
FAT84933_SUP,EcoRV
FAU02748_SUP,EcoRV
FAV03051_SUP,EcoRV
FAT84933_hac,EcoRV
FAT82595_hac,EcoRV
FAU02748_hac,EcoRV
FAV03051_hac,EcoRV
FAU02780,EcoRV
FAU03554,EcoRV
FAU03564,EcoRV
FAU02827,EcoRV
